strategy,trades,win_rate,pf,pnl,max_dd,days_over_500,rr,adx_filter,rsi_filter
CCI,332,29.518072289156628,1.1164318674825466,1498.3918312618098,16.02538727351576,0,2.5,20,"(35, 65)"
CCI,359,29.526462395543174,1.1116286359466832,1542.1824032920108,17.891537475585746,0,2.5,15,"(35, 65)"
CCI,346,28.901734104046245,1.1052083168096143,1415.5152879442553,16.698534066336435,0,2.5,25,"(30, 70)"
MACD + Zero Line,141,29.78723404255319,1.1015937487244079,532.8364236014237,10.142308984483972,0,2.5,25,"(30, 70)"
CCI,455,33.84615384615385,1.1001299292030864,1634.6326855251114,18.096466582161916,0,2.0,25,"(25, 75)"
CCI,420,29.04761904761905,1.098869680101761,1589.7090012686763,21.03097564152292,0,2.5,15,"(30, 70)"
CCI,488,36.0655737704918,1.0970893827738195,1649.653198242186,16.692920592171863,0,1.8,20,"(30, 70)"
CCI,406,36.45320197044335,1.0948597137281078,1344.3707820347452,16.339341904776397,0,1.8,20,"(35, 65)"
CCI,444,36.486486486486484,1.088170242742215,1354.1511693682019,15.446863517761154,0,1.8,15,"(35, 65)"
CCI,531,35.969868173258,1.0845172770888714,1549.8891334533632,16.418490257263194,0,1.8,15,"(30, 70)"
CCI,383,33.68146214099217,1.0842336068519935,1168.1797763279878,13.129956681387739,0,2.0,20,"(35, 65)"
MACD + Zero Line,229,30.131004366812224,1.0836779020128993,713.4843962533153,8.650966439928274,0,2.5,15,"(25, 75)"
CCI,512,33.59375,1.0834371147353852,1540.2274867467004,19.011906051635552,0,2.0,20,"(25, 75)"
CCI,604,40.728476821192054,1.0815656335727155,1582.2946643829505,17.312702301570127,0,1.5,20,"(25, 75)"
MACD + Zero Line,121,36.36363636363637,1.0807498218713998,329.04541724067724,8.599014767238135,0,1.8,25,"(35, 65)"
CCI,520,40.38461538461539,1.0804789669340942,1354.2868382590098,15.935483183179567,0,1.5,25,"(25, 75)"
CCI,545,35.96330275229358,1.0796955371766614,1512.8177800859871,21.960986219133595,0,1.8,20,"(25, 75)"
CCI,388,28.350515463917525,1.0794468390943095,1200.7222121102732,19.184939616066863,0,2.5,20,"(30, 70)"
CCI,553,33.634719710669074,1.0794144721507362,1570.0218936375618,20.581147302899907,0,2.0,15,"(25, 75)"
MACD+Stochastic,45,31.11111111111111,1.0786542815593836,116.90323693411469,7.223301315307657,0,2.0,15,"(25, 75)"
CCI,448,40.17857142857143,1.078216644454739,1153.1113038744077,12.470148345402377,0,1.5,25,"(30, 70)"
CCI,420,33.57142857142857,1.0770471423789236,1160.0235312325913,15.951951272147014,0,2.0,15,"(35, 65)"
MACD + Zero Line,180,29.444444444444446,1.0756343866690774,507.3943683079194,11.095235620226159,0,2.5,15,"(35, 65)"
CCI,529,40.45368620037807,1.0742561896879539,1280.6787954057986,12.444355365208175,0,1.5,20,"(30, 70)"
CCI,453,28.697571743929362,1.071404292403629,1256.0042503902173,23.412919235229303,0,2.5,15,"(25, 75)"
CCI,588,35.8843537414966,1.0677017257631154,1378.6714619227935,22.030378417968617,0,1.8,15,"(25, 75)"
CCI,355,40.28169014084507,1.0647205528060903,764.154641287651,11.920527117593096,0,1.5,25,"(35, 65)"
CCI,640,45.9375,1.0614859384194872,1157.335358210998,17.73120408194383,0,1.2,20,"(25, 75)"
MACD + Zero Line,112,28.57142857142857,1.0579607199375625,245.78040667942295,8.660339886801555,0,2.5,25,"(35, 65)"
MACD + Zero Line,218,29.81651376146789,1.0539662591549983,441.986049924569,12.20361426217216,0,2.5,15,"(30, 70)"
CCI,435,40.229885057471265,1.0539562649244478,776.852273941036,14.87933276040214,0,1.5,20,"(35, 65)"
CCI,541,45.65619223659889,1.053855277911745,864.5768116542313,19.08371323176787,0,1.2,25,"(25, 75)"
CCI,566,45.583038869257955,1.0521530537860506,879.8324661254985,14.227146998814074,0,1.2,20,"(30, 70)"
